subject,question_id,gold,def8_tok,def8_lat_s,gate39_tok,gate39_lat_s,tok_delta(gate-def),lat_delta(gate-def)
chemistry,3569,H,2037,106.8,1957,112.5,-80,5.8
chemistry,3570,C,2587,143.0,4413,281.6,1826,138.6
chemistry,3571,E,3698,218.6,3984,258.4,286,39.7
chemistry,3572,E,1920,102.4,1467,86.3,-453,-16.1
chemistry,3573,E,4179,244.1,3089,189.6,-1090,-54.5
chemistry,3574,A,1962,103.5,1630,94.2,-332,-9.3
chemistry,3575,J,4290,254.4,4534,293.7,244,39.3
computer science,10356,B,1065,59.3,1608,100.2,543,40.9
computer science,10357,A,2082,104.3,636,40.6,-1446,-63.8
computer science,10359,F,2067,101.1,1393,79.5,-674,-21.6
computer science,10360,C,3193,169.7,7813,569.6,4620,399.9
computer science,10361,G,2286,115.2,1222,73.9,-1064,-41.2
computer science,10362,A,7582,488.8,6066,416.7,-1516,-72.1
computer science,10363,D,1390,70.0,1520,87.5,130,17.5
computer science,10364,D,2243,114.8,1254,72.9,-989,-41.9
computer science,10366,A,2046,138.9,1676,96.2,-370,-42.7
computer science,10367,F,2055,144.3,1463,86.8,-592,-57.4
computer science,10368,H,1193,74.6,2087,119.3,894,44.7
computer science,10369,B,1320,64.6,2112,118.6,792,53.9
computer science,10370,B,682,36.2,894,52.4,212,16.2
computer science,10371,E,1717,90.5,1273,74.1,-444,-16.4
computer science,10372,A,2862,242.2,2198,124.8,-664,-117.4
computer science,10373,D,3122,417.5,3239,199.1,117,-218.3
computer science,10374,I,5455,747.1,5666,364.1,211,-383.0
computer science,10375,B,3046,824.2,3815,218.6,769,-605.7
computer science,10376,A,2431,830.8,2273,153.2,-158,-677.5
computer science,10377,A,1443,737.7,1705,96.6,262,-641.0
computer science,10378,J,1998,525.7,2584,153.5,586,-372.2
computer science,10379,A,2482,501.5,2857,167.5,375,-334.0
computer science,10380,C,1681,429.8,2144,114.9,463,-314.9
computer science,10382,B,2015,456.5,1652,90.0,-363,-366.4
computer science,10383,J,2316,464.8,2479,137.2,163,-327.6
computer science,10384,F,1837,420.5,1601,86.8,-236,-333.8
computer science,10386,I,1882,590.7,1976,107.6,94,-483.2
computer science,10387,G,2374,591.3,1414,76.0,-960,-515.4
computer science,10389,H,2015,599.5,2056,110.0,41,-489.5
computer science,10391,J,2248,525.0,2252,123.3,4,-401.7
computer science,10392,D,1430,471.5,1313,69.5,-117,-401.9
computer science,10393,B,1811,460.7,1947,103.8,136,-356.9
computer science,10394,A,3762,518.3,2915,179.2,-847,-339.1
computer science,10395,H,766,438.7,1412,75.0,646,-363.7
computer science,10396,A,1210,428.8,943,51.6,-267,-377.3
computer science,10398,C,1189,206.8,952,50.7,-237,-156.1
computer science,10400,F,1339,731.6,1547,85.8,208,-645.8
computer science,10403,F,2291,176.4,3008,227.8,717,51.4
computer science,10404,E,1169,67.8,1520,88.1,351,20.4
computer science,10405,B,1709,139.7,2390,185.5,681,45.8
computer science,10406,E,645,36.0,710,39.9,65,3.9
computer science,10407,E,1831,98.8,2267,125.7,436,26.9
computer science,10408,C,1537,84.9,1460,82.8,-77,-2.1
economics,6826,G,1477,73.4,1651,95.8,174,22.4
economics,6827,A,2296,114.4,2372,138.7,76,24.3
economics,6828,B,1409,69.3,1907,110.2,498,40.9
economics,6829,I,2955,152.9,2785,167.1,-170,14.2
economics,6830,A,1255,62.0,1212,71.2,-43,9.2
economics,6831,F,1814,88.4,1629,93.8,-185,5.4
economics,6832,B,2062,102.1,1590,92.6,-472,-9.5
economics,6833,B,3571,187.2,3079,184.3,-492,-2.9
economics,6834,I,2357,117.6,2071,120.5,-286,2.9
economics,6836,E,1689,83.4,2521,148.1,832,64.6
economics,6837,A,1687,83.2,1485,86.7,-202,3.5
economics,6838,D,1749,88.9,2222,132.9,473,44.0
economics,6840,G,2751,141.8,2618,157.0,-133,15.2
economics,6841,C,1913,101.2,2278,141.3,365,40.1
economics,6842,A,2043,102.0,1229,67.1,-814,-34.8
economics,6843,E,4622,260.6,3582,208.9,-1040,-51.7
economics,6844,H,1835,93.9,2373,131.2,538,37.4
economics,6846,A,4162,232.7,3591,219.3,-571,-13.4
economics,6847,D,1477,74.2,1273,73.1,-204,-1.2
economics,6848,C,1378,68.4,1586,89.6,208,21.2
economics,6850,A,2167,105.6,2605,137.5,438,31.9
economics,6851,A,2277,114.8,1097,60.3,-1180,-54.5
economics,6852,C,2753,138.9,4632,274.1,1879,135.2
economics,6853,F,1870,92.0,1176,63.4,-694,-28.7
economics,6855,C,1418,69.4,2437,130.5,1019,61.1
economics,6856,G,1922,96.1,2139,114.8,217,18.7
economics,6857,A,1834,94.6,2010,113.2,176,18.5
economics,6858,C,2204,113.7,2053,114.9,-151,1.2
economics,6859,G,2225,112.2,2278,125.6,53,13.3
economics,6861,B,2218,115.9,2204,132.9,-14,17.1
economics,6862,I,1583,83.4,1389,86.7,-194,3.3
economics,6863,G,1064,55.5,827,51.7,-237,-3.8
economics,6864,D,1233,62.8,1255,73.6,22,10.8
economics,6866,G,2201,113.2,2689,162.0,488,48.8
economics,6867,C,3019,162.9,2112,121.4,-907,-41.5
economics,6868,E,2566,133.8,2155,120.0,-411,-13.8
economics,6869,C,1814,98.5,1752,103.0,-62,4.5
economics,6870,B,1698,79.9,1915,97.9,217,18.0
economics,6871,C,1905,104.0,1348,79.7,-557,-24.3
economics,6872,C,2328,127.1,2360,135.9,32,8.8
economics,6873,I,1732,92.4,1465,84.3,-267,-8.1
economics,6874,A,1491,75.3,3622,209.3,2131,134.0
economics,6875,A,1877,94.8,1020,62.6,-857,-32.2
economics,6876,A,2359,120.4,2112,125.8,-247,5.4
economics,6877,E,2327,119.9,1415,84.6,-912,-35.4
engineering,11285,C,1766,86.0,1381,79.7,-385,-6.2
engineering,11286,C,1575,73.3,549,31.4,-1026,-41.8
engineering,11287,A,1172,53.9,803,44.2,-369,-9.7
engineering,11288,H,1665,79.7,1205,68.1,-460,-11.5
engineering,11290,B,5054,322.3,7276,565.6,2222,243.3
engineering,11291,G,5490,321.5,6001,412.1,511,90.6
engineering,11292,A,3190,172.3,5629,383.9,2439,211.6
engineering,11293,F,6375,383.7,4026,256.2,-2349,-127.5
engineering,11294,J,13299,1048.7,5905,397.7,-7394,-651.0
engineering,11295,H,7849,505.1,4889,322.3,-2960,-182.9
engineering,11300,E,2192,111.6,982,58.0,-1210,-53.6
engineering,11301,E,3733,204.0,2892,164.6,-841,-39.4
engineering,11302,D,7328,454.3,4957,297.6,-2371,-156.7
engineering,11303,A,2156,110.8,1635,92.5,-521,-18.3
engineering,11304,G,3923,238.4,2493,165.7,-1430,-72.7
engineering,11305,C,2200,115.6,2378,136.5,178,20.8
engineering,11308,D,2652,169.9,3371,226.7,719,56.9
engineering,11309,B,1459,74.4,1110,60.3,-349,-14.1
engineering,11310,D,3789,212.5,4136,244.4,347,31.9
engineering,11311,H,1838,96.1,1431,79.3,-407,-16.9
engineering,11312,F,6791,445.6,7690,544.9,899,99.3
engineering,11314,J,5169,314.0,4907,308.6,-262,-5.4
engineering,11317,D,4456,256.5,5294,340.0,838,83.6
engineering,11318,D,4122,222.4,3734,217.0,-388,-5.3
engineering,11320,J,2355,120.5,2376,130.4,21,9.9
engineering,11321,J,2467,142.2,2208,130.1,-259,-12.1
engineering,11322,C,3134,168.8,3367,187.1,233,18.3
engineering,11323,C,5003,302.3,4503,269.7,-500,-32.6
engineering,11324,B,4210,282.7,4470,306.6,260,23.9
engineering,11325,E,3911,223.0,4869,299.0,958,76.0
engineering,11326,D,4361,252.2,4628,292.9,267,40.7
engineering,11327,B,3034,181.6,5345,355.2,2311,173.6
engineering,11328,G,2279,119.3,1790,94.3,-489,-25.0
engineering,11329,B,8040,531.4,7816,525.3,-224,-6.1
engineering,11333,A,6368,386.9,3840,229.3,-2528,-157.6
engineering,11335,C,3095,160.0,2189,120.0,-906,-40.0
health,6001,E,3182,164.0,1684,94.7,-1498,-69.3
health,6003,I,1485,74.4,1691,97.3,206,22.9
health,6004,F,2056,103.8,2437,142.5,381,38.7
health,6005,D,1574,78.4,1660,95.2,86,16.8
health,6006,E,1050,52.8,952,56.0,-98,3.1
health,6007,D,1985,98.5,2287,131.4,302,33.0
health,6008,G,2166,113.0,4986,326.2,2820,213.1
health,6009,D,3330,178.8,2879,173.6,-451,-5.2
health,6010,B,2806,145.5,2366,137.9,-440,-7.6
health,6011,B,2282,114.9,819,48.7,-1463,-66.2
health,6013,G,2271,116.2,2176,130.8,-95,14.6
health,6014,D,2951,151.6,2638,156.5,-313,4.8
health,6015,D,2310,117.4,728,47.2,-1582,-70.2
health,6016,C,1494,73.7,1178,86.2,-316,12.5
health,6018,H,2258,110.6,1938,125.3,-320,14.7
health,6019,G,1531,73.0,1399,92.2,-132,19.2
health,6024,F,1655,79.6,1805,123.8,150,44.2
health,6027,J,2436,130.2,1777,125.7,-659,-4.5
health,6028,E,2043,106.9,1518,104.4,-525,-2.6
health,6029,I,1252,70.0,1838,133.4,586,63.4
health,6031,B,2313,127.5,2100,152.8,-213,25.3
health,6034,F,2365,130.7,2484,180.2,119,49.4
health,6035,B,1983,114.0,1901,136.9,-82,22.9
health,6036,D,1780,106.8,2090,157.1,310,50.3
health,6037,C,1944,116.3,1440,110.7,-504,-5.5
health,6038,C,1939,112.7,1148,86.3,-791,-26.3
health,6040,B,1843,109.1,2301,167.7,458,58.6
health,6041,B,3108,199.7,2599,197.3,-509,-2.4
health,6042,A,3147,204.0,2988,227.4,-159,23.4
health,6043,B,1740,112.1,1892,137.2,152,25.0
health,6044,G,2160,139.0,1475,108.0,-685,-31.0
health,6045,D,2367,159.1,1708,130.5,-659,-28.6
health,6046,A,1993,135.8,2091,160.1,98,24.3
health,6047,B,1929,123.3,1860,133.8,-69,10.5
health,6048,A,2486,156.9,1146,81.5,-1340,-75.4
health,6050,I,3183,219.4,3864,289.4,681,70.1
health,6051,F,2541,174.9,1684,120.4,-857,-54.5
history,4670,D,1879,97.8,2010,114.1,131,16.4
history,4671,C,2244,124.3,1456,88.8,-788,-35.5
history,4674,G,2365,137.1,2572,161.6,207,24.5
history,4675,A,1531,79.7,882,51.7,-649,-28.0
history,4676,B,1997,106.3,1410,81.7,-587,-24.6
history,4677,H,1106,58.2,1793,102.2,687,44.1
history,4679,H,1900,124.2,2332,161.6,432,37.4
history,4680,A,2493,147.6,2150,138.6,-343,-9.0
history,4681,I,2780,176.4,3532,241.9,752,65.5
history,4685,A,3427,254.9,2376,186.4,-1051,-68.4
history,4686,J,2234,166.5,2096,166.8,-138,0.2
history,4687,A,3333,236.2,2738,203.1,-595,-33.1
history,4688,C,3133,221.1,3078,231.2,-55,10.1
history,4692,B,2844,212.1,1902,155.0,-942,-57.1
history,4693,D,2951,218.0,2758,217.6,-193,-0.3
history,4697,D,2479,178.1,2671,207.2,192,29.1
history,4698,H,1860,126.8,1772,131.3,-88,4.5
history,4699,G,2030,142.9,2297,174.7,267,31.8
history,4700,B,2162,150.1,2698,203.4,536,53.3
history,4702,B,2250,153.2,2067,153.9,-183,0.6
history,4704,H,2448,161.1,1803,129.2,-645,-31.8
history,4705,H,1959,133.4,1693,127.3,-266,-6.2
history,4706,D,2951,196.8,2566,184.9,-385,-11.9
history,4707,E,1763,115.8,1621,116.0,-142,0.2
history,4708,F,2716,174.7,2109,139.9,-607,-34.8
history,4709,A,1266,78.9,1784,116.3,518,37.3
history,4710,B,1356,88.6,1550,106.0,194,17.4
history,4711,H,2273,145.8,2159,145.7,-114,-0.1
history,4713,H,1773,127.8,1670,127.4,-103,-0.4
history,4715,F,2008,142.9,2291,179.3,283,36.4
history,4717,A,2011,135.1,2060,153.5,49,18.5
history,4718,D,2050,152.4,2496,202.1,446,49.7
law,867,B,2290,120.4,2387,147.1,97,26.6
law,870,E,2910,161.4,2285,146.0,-625,-15.4
law,871,C,2895,158.6,3995,257.7,1100,99.1
law,872,G,2406,148.7,2188,157.3,-218,8.6
law,877,I,4229,243.0,3422,222.4,-807,-20.6
law,879,A,2474,140.9,2220,147.9,-254,7.0
law,881,C,2590,181.6,1948,147.5,-642,-34.2
law,883,B,2032,133.0,2435,171.4,403,38.5
law,884,B,1908,123.2,1502,104.0,-406,-19.2
law,886,A,1891,118.2,2090,140.5,199,22.3
law,889,C,2306,162.5,2407,180.5,101,18.0
law,890,G,2308,151.3,1331,93.4,-977,-57.9
law,891,C,2140,142.9,2384,169.1,244,26.2
law,892,F,2135,149.4,2590,191.5,455,42.1
law,893,G,2778,193.6,2459,180.9,-319,-12.7
law,894,H,2479,172.1,3236,240.2,757,68.0
law,895,H,3542,260.6,2325,179.4,-1217,-81.1
law,896,G,3584,263.9,2828,217.0,-756,-46.9
law,897,G,2476,169.4,2162,156.0,-314,-13.4
law,898,C,2647,182.8,2463,178.1,-184,-4.7
law,899,G,3617,269.3,3453,268.7,-164,-0.6
law,900,A,1941,124.6,2290,156.0,349,31.5
law,902,I,1489,115.1,1713,136.7,224,21.6
law,903,B,1884,141.4,2138,166.8,254,25.4
law,904,A,2566,169.9,2840,198.3,274,28.4
law,905,A,4339,312.3,2855,205.2,-1484,-107.0
law,909,B,3894,304.8,4777,393.2,883,88.4
law,910,B,3165,214.1,2785,193.9,-380,-20.1
law,911,E,2951,207.1,2526,184.2,-425,-22.9
law,914,F,2463,203.8,2125,187.1,-338,-16.6
law,915,G,2043,150.3,2900,219.9,857,69.5
law,916,H,3961,291.0,2964,222.8,-997,-68.1
math,7688,H,3179,237.4,2248,132.6,-931,-104.8
math,7689,C,2101,132.7,1496,87.9,-605,-44.8
math,7690,H,1769,90.8,1371,78.9,-398,-11.9
math,7691,B,3440,186.3,3836,233.9,396,47.6
math,7692,D,2989,161.5,6195,418.5,3206,257.0
math,7693,J,2765,146.9,1792,105.3,-973,-41.6
math,7694,J,4293,240.3,3473,212.4,-820,-27.9
math,7695,I,2646,139.6,2478,148.1,-168,8.5
math,7696,G,2625,137.7,2744,164.1,119,26.3
math,7697,A,3799,211.8,2081,126.2,-1718,-85.7
math,7698,H,2367,126.1,2358,143.6,-9,17.5
math,7699,E,1526,85.1,1795,113.1,269,28.0
math,7700,A,3602,198.9,4839,314.9,1237,116.0
math,7701,F,2395,134.5,1938,122.4,-457,-12.1
math,7702,A,2184,144.7,2493,176.4,309,31.7
math,7703,B,3575,240.7,2176,153.1,-1399,-87.6
math,7704,F,1881,120.2,2491,172.1,610,52.0
math,7705,D,1604,105.9,2408,170.2,804,64.3
math,7706,J,1852,125.4,2335,168.0,483,42.6
math,7707,D,1231,76.1,620,44.9,-611,-31.2
math,7708,B,1330,81.5,1579,103.9,249,22.4
math,7709,F,1898,118.6,968,67.6,-930,-50.9
math,7710,F,663,41.9,651,44.7,-12,2.8
math,7711,B,1905,115.2,2407,158.9,502,43.8
math,7712,A,1045,66.6,1328,89.7,283,23.1
math,7713,B,2370,145.5,1685,110.1,-685,-35.5
math,7714,B,1627,100.0,1648,109.1,21,9.2
math,7715,E,1810,110.7,1951,128.5,141,17.8
math,7716,F,1373,84.5,1629,107.6,256,23.1
math,7717,G,1080,67.6,755,53.1,-325,-14.5
math,7718,D,1149,73.3,880,62.6,-269,-10.6
math,7719,G,891,54.2,423,31.1,-468,-23.0
math,7720,E,1478,89.4,1226,80.5,-252,-8.8
math,7721,F,1698,107.1,1271,87.9,-427,-19.2
math,7722,F,2346,158.0,3059,222.8,713,64.7
math,7723,E,848,53.7,936,63.5,88,9.8
math,7724,E,1032,65.8,1186,80.5,154,14.7
math,7725,J,605,41.8,1644,109.5,1039,67.8
math,7726,J,644,41.8,1031,68.2,387,26.5
math,7728,H,1660,105.3,1642,112.2,-18,6.9
math,7730,A,1984,119.5,2795,185.2,811,65.7
math,7731,E,2815,176.1,1955,128.9,-860,-47.2
math,7732,G,1743,104.0,2390,155.5,647,51.5
math,7733,F,1153,70.5,1204,79.6,51,9.1
math,7734,B,1930,118.0,2366,156.8,436,38.8
math,7735,F,1402,84.9,1499,97.8,97,13.0
math,7736,A,2162,130.8,1599,103.7,-563,-27.1
math,7737,F,6046,437.0,6515,507.3,469,70.3
other,5059,C,746,40.2,746,47.6,0,7.5
other,5060,C,2044,103.1,1671,99.3,-373,-3.8
other,5063,F,1846,93.4,1343,80.6,-503,-12.8
other,5065,F,2742,152.8,2372,142.1,-370,-10.6
other,5066,G,1669,93.8,1776,108.6,107,14.8
other,5069,B,1782,94.3,1533,88.5,-249,-5.8
other,5070,B,1564,84.5,1751,103.2,187,18.6
other,5071,D,2808,161.8,1938,120.7,-870,-41.0
other,5072,F,2758,166.1,3002,196.1,244,29.9
other,5075,A,2787,176.0,2584,173.2,-203,-2.8
other,5076,B,1856,112.7,2057,304.4,201,191.7
other,5078,D,2209,144.5,2247,162.7,38,18.2
other,5080,I,1971,121.3,1901,127.0,-70,5.7
other,5082,A,2022,124.0,1636,114.2,-386,-9.8
other,5089,I,2195,131.8,1403,89.2,-792,-42.6
other,5091,A,1630,96.2,1146,72.6,-484,-23.5
other,5092,B,1581,91.1,960,59.7,-621,-31.4
other,5093,C,1924,112.8,2074,130.4,150,17.6
other,5094,C,2508,150.6,2502,161.0,-6,10.4
other,5095,D,2798,169.2,2955,192.5,157,23.4
other,5097,C,1075,62.0,688,44.0,-387,-18.1
other,5098,F,1239,72.0,1162,72.4,-77,0.4
other,5099,B,1436,85.7,1930,123.8,494,38.1
other,5100,H,1537,96.8,1703,114.2,166,17.4
other,5101,A,481,30.1,444,30.5,-37,0.3
other,5102,H,1062,61.4,1029,63.6,-33,2.2
other,5103,J,481,30.2,732,46.6,251,16.3
other,5104,I,916,54.4,1188,73.8,272,19.4
other,5105,I,1886,109.2,1669,102.9,-217,-6.4
other,5106,A,1206,69.1,1246,76.9,40,7.8
other,5107,D,2403,153.5,2466,169.8,63,16.2
other,5108,C,3199,201.5,3021,202.5,-178,1.1
other,5109,H,2673,162.6,3013,200.6,340,37.9
other,5110,B,1007,58.2,1067,66.1,60,7.8
philosophy,10774,A,1042,50.9,1029,55.4,-13,4.4
philosophy,10775,D,5549,320.1,4370,261.4,-1179,-58.7
philosophy,10776,I,3259,168.7,2175,119.2,-1084,-49.5
philosophy,10777,A,1064,52.0,1385,73.6,321,21.6
philosophy,10778,E,1718,83.6,1829,97.7,111,14.1
philosophy,10779,I,2874,153.6,2536,147.0,-338,-6.6
philosophy,10780,D,4980,280.0,2740,163.4,-2240,-116.6
philosophy,10781,J,1503,80.5,1648,104.1,145,23.5
philosophy,10782,D,2383,119.7,2594,153.5,211,33.8
philosophy,10784,D,3597,188.1,2644,155.1,-953,-33.0
philosophy,10788,E,2462,121.4,1206,69.1,-1256,-52.3
philosophy,10791,I,1485,86.9,1502,79.5,17,-7.3
philosophy,10792,A,2125,132.0,1936,107.7,-189,-24.3
philosophy,10793,D,1206,69.7,1426,74.6,220,4.8
philosophy,10794,C,1786,96.9,2532,140.0,746,43.1
philosophy,10795,G,1476,73.3,1158,63.2,-318,-10.1
philosophy,10796,G,908,45.5,1058,57.1,150,11.7
philosophy,10797,D,1038,50.3,910,49.0,-128,-1.4
philosophy,10798,D,1390,66.7,832,45.5,-558,-21.2
philosophy,10800,H,1829,88.8,2420,129.5,591,40.7
philosophy,10801,E,1701,82.0,602,34.0,-1099,-48.0
philosophy,10803,C,2194,106.0,2516,133.4,322,27.5
philosophy,10805,B,1271,63.6,907,51.4,-364,-12.1
philosophy,10806,A,1411,68.2,1692,88.2,281,20.0
philosophy,10807,C,1251,61.8,1343,71.4,92,9.6
philosophy,10810,A,1889,93.3,1377,75.1,-512,-18.3
philosophy,10811,B,2359,119.9,1641,91.1,-718,-28.8
philosophy,10812,I,1679,84.3,1430,79.5,-249,-4.8
philosophy,10813,G,4025,218.2,4964,303.5,939,85.3
philosophy,10814,A,2329,116.0,2265,122.1,-64,6.1
philosophy,10815,E,3267,175.3,6924,462.2,3657,286.9
philosophy,10816,B,2319,121.4,2251,128.8,-68,7.5
philosophy,10818,J,2153,109.1,2013,112.8,-140,3.7
philosophy,10819,J,2557,135.8,1836,107.9,-721,-27.9
philosophy,10820,G,1444,70.4,1439,76.9,-5,6.5
philosophy,10821,H,1496,72.5,1037,55.3,-459,-17.2
philosophy,10823,A,2029,99.8,2045,109.6,16,9.7
philosophy,10825,F,2079,101.7,1700,90.3,-379,-11.4
philosophy,10826,A,1536,74.7,1141,61.9,-395,-12.8
